"","Sex","Age","Height","Weight","NOC","Medal","Sport","cluster"
"41","M",28,184,85,"FIN","Bronze","Ice Hockey",1
"42","M",28,175,64,"FIN","Bronze","Gymnastics",3
"43","M",28,175,64,"FIN","Gold","Gymnastics",3
"45","M",28,175,64,"FIN","Gold","Gymnastics",3
"49","M",28,175,64,"FIN","Gold","Gymnastics",3
"51","M",32,175,64,"FIN","Bronze","Gymnastics",3
"61","M",20,176,85,"NOR","Gold","Alpine Skiing",1
"62","M",20,176,85,"NOR","Bronze","Alpine Skiing",1
"64","M",22,176,85,"NOR","Silver","Alpine Skiing",1
"65","M",22,176,85,"NOR","Bronze","Alpine Skiing",1
"68","M",22,176,85,"NOR","Silver","Alpine Skiing",1
"74","M",30,176,85,"NOR","Gold","Alpine Skiing",1
"77","M",30,176,85,"NOR","Gold","Alpine Skiing",1
"79","M",34,176,85,"NOR","Gold","Alpine Skiing",1
"93","M",26,189,72,"NED","Silver","Rowing",1
"106","F",23,182,64,"NOR","Bronze","Football",1
"159","M",21,198,90,"ITA","Bronze","Rowing",2
"160","M",30,194,87,"ESP","Bronze","Fencing",2
"162","F",21,165,49,"AZE","Bronze","Taekwondo",3
"164","F",22,179,80,"RUS","Silver","Athletics",1
"173","M",28,180,83,"BLR","Gold","Canoeing",1
"174","M",23,182,86,"FRA","Gold","Handball",1
"175","M",27,182,86,"FRA","Gold","Handball",1
"176","M",31,182,86,"FRA","Silver","Handball",1
"179","M",22,185,82,"CMR","Gold","Football",1
"183","M",22,186,83,"ESP","Gold","Water Polo",1
"187","M",26,165,55,"USA","Silver","Wrestling",3
"189","M",28,181,82,"ESP","Gold","Sailing",1
"192","M",26,182,67,"ESP","Bronze","Athletics",1
"196","F",21,163,60,"RUS","Silver","Cycling",3
"201","M",38,190,85,"FRA","Gold","Handball",2
"209","M",30,181,79,"HUN","Silver","Fencing",1
"219","M",22,188,96,"ITA","Gold","Rowing",2
"220","M",29,188,96,"ITA","Gold","Rowing",2
"221","M",34,188,96,"ITA","Gold","Rowing",2
"222","M",22,182,90,"ITA","Gold","Rowing",2
"223","M",26,182,90,"ITA","Gold","Rowing",2
"224","M",30,182,90,"ITA","Silver","Rowing",2
"227","M",25,187,97,"ITA","Gold","Rowing",2
"228","M",29,187,97,"ITA","Gold","Rowing",2
"229","M",33,187,97,"ITA","Silver","Rowing",2
"275","M",21,184,87,"AUS","Bronze","Hockey",2
"279","M",28,175,70,"USA","Bronze","Figure Skating",1
"287","F",23,191,88,"USA","Silver","Softball",2
"312","F",20,175,56,"USA","Silver","Taekwondo",3
"451","M",26,170,80,"IRI","Bronze","Wrestling",1
"477","F",21,173,59,"CAN","Bronze","Swimming",3
"525","M",38,169,91,"PAK","Gold","Hockey",1
"526","M",23,181,72,"PAK","Silver","Hockey",1
"551","M",26,160,62,"URS","Gold","Wrestling",3
"588","M",26,169,63,"UZB","Gold","Boxing",3
"591","M",25,167,55,"AZE","Silver","Wrestling",3
"592","M",29,167,55,"AZE","Gold","Wrestling",3
"610","M",23,202,104,"USA","Gold","Basketball",2
"618","M",30,170,84,"TJK","Silver","Wrestling",1
"621","M",26,190,125,"EUN","Gold","Athletics",2
"637","M",28,175,64,"JPN","Gold","Nordic Combined",3
"656","M",21,160,50,"ETH","Bronze","Athletics",3
"673","M",23,185,102,"USA","Silver","Ice Hockey",2
"678","F",19,160,48,"GDR","Silver","Gymnastics",3
"685","F",20,160,62,"CAN","Bronze","Diving",3
"721","M",22,166,58,"ETH","Gold","Athletics",3
"728","M",19,181,78,"SWE","Bronze","Athletics",1
"729","M",19,181,78,"SWE","Silver","Athletics",1
"740","M",22,182,84,"USA","Gold","Baseball",1
"748","F",25,159,40,"TUR","Silver","Athletics",3
"772","M",29,172,82,"BUL","Gold","Wrestling",1
"788","M",19,182,68,"USA","Gold","Athletics",1
